学校,学院,url
同济大学,汽车学院,http://auto.tongji.edu.cn/index.php?classid=10590
上海师范大学,信息与机电工程学院,http://xxjd.shnu.edu.cn/806/list.htm
上海师范大学,信息与机电工程学院,http://xxjd.shnu.edu.cn/804/list.htm
上海师范大学,信息与机电工程学院,http://xxjd.shnu.edu.cn/805/list.htm
上海师范大学,信息与机电工程学院,http://xxjd.shnu.edu.cn/txgcx/list.htm
上海工程技术大学,汽车工程学院,http://cae.sues.edu.cn/10922/list.htm
湖南大学,机械与运载工程学院,http://mve.hnu.edu.cn/index.php?option=com_content&view=article&id=166:2014-01-12-11-41-47&catid=79&Itemid=474
中南大学,机电学院,http://cmee.csu.edu.cn/Content.aspx?moduleid=3cc1215f-06ba-49ad-a9c8-e1a1d5e75022
湘潭大学,机械工程学院,http://jxgc.xtu.edu.cn/e/action/ListInfo/?classid=3
湘潭大学,机械工程学院,http://jxgc.xtu.edu.cn/e/action/ListInfo/index.php?page=1&classid=3&totalnum=113
湘潭大学,机械工程学院,http://jxgc.xtu.edu.cn/e/action/ListInfo/index.php?page=2&classid=3&totalnum=113
湘潭大学,机械工程学院,http://jxgc.xtu.edu.cn/e/action/ListInfo/index.php?page=3&classid=3&totalnum=113
湘潭大学,机械工程学院,http://jxgc.xtu.edu.cn/e/action/ListInfo/index.php?page=4&classid=3&totalnum=113
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/qcgcx.htm
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/qcgcx/2.htm
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/qcgcx/1.htm
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/jxsjx.htm
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/jxsjx/1.htm
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/jdgcx.htm
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/jdgcx/1.htm
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/ckgcx.htm
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/ckgcx/1.htm
长沙理工大学,汽车与机械工程学院,http://www.csust.edu.cn/qjxy/szdw/clgcx.htm
邵阳学院,机械与能源工程学院,http://www1.hnsyu.net/jixie/xygk/szdw/index.html
邵阳学院,机械与能源工程学院,http://www1.hnsyu.net/jixie/xygk/szdw/index_1.html
重庆大学,汽车工程学院,http://auto.cqu.edu.cn/szdw/zzjs.htm
重庆大学,机械工程学院,http://www.cme.cqu.edu.cn/szdw/jxjcx.htm
西南大学,工程技术学院,http://gcjsxy.swu.edu.cn/viscms/gcjsidex/shiziduiwu6385/
重庆交通大学,机电与车辆工程学院,http://smve.cqjtu.edu.cn/lby.jsp?urltype=tree.TreeTempUrl&wbtreeid=1691
重庆交通大学,机电与车辆工程学院,http://smve.cqjtu.edu.cn/lby.jsp?a8t=2&a8p=2&a8c=15&urltype=tree.TreeTempUrl&wbtreeid=1691
