,pearsonr,f_regression,rfr,rfe,rg,rf,mic
325,0.03911249,0.763001111,-0.048,1573,-0.007697984,0.001161301,0.180836587
326,0.024703012,0.304084487,-0.056,3586,-0.001056935,6.20E-05,0.156990483
327,0.026244745,0.343252176,-0.004,2128,0.005481447,0,0.152267273
328,0.01524802,0.115812982,-0.008,819,-0.01368353,5.69E-05,0.138044122
329,-0.135565064,9.323534419,0.006,4726,-0.001203396,2.62E-07,0.184130509
330,-0.135565064,9.323534419,0.04,5570,-0.001203396,5.94E-05,0.184130509
331,0.01187187,0.070198655,-0.037,3568,-0.000172989,7.49E-05,0.182438965
332,0.02920874,0.425231742,-0.075,5549,-2.62E-05,0.000260504,0.170740076
333,-0.018076838,0.162785685,0.089,3873,-0.002195765,0.000336589,0.183376173
334,-0.018050112,0.162304536,0.017,4204,-0.00217419,0,0.183376173
335,-0.01104058,0.060710819,-0.076,1518,-0.007408346,0.00039184,0.166895366
336,0.016539196,0.136262682,-0.014,1984,-0.004588811,1.15E-05,0.139020486
337,-0.02629498,0.344568391,-0.018,3716,-0.001443193,0,0.149477375
338,-0.02629498,0.344568391,-0.063,3645,-0.001443193,0,0.149477375
339,-0.015083248,0.113322956,-0.017,3774,0.002411486,0.000615033,0.14618522
340,-0.007117656,0.025230473,-0.061,219,0.015693504,2.78E-05,0.138882573
341,0.02358938,0.277270806,-0.037,3848,-0.002075971,0,0.155278156
342,0.002132919,0.002265584,-0.02,5010,-0.005828824,0,0.119166624
343,0.035791587,0.638775076,-0.078,1028,0.006041932,6.57E-06,0.159300525
344,0.009864057,0.04845993,0.065,1924,-0.003972248,1.05E-09,0.183376173
345,0.054572451,1.487550026,-0.056,504,0.011024623,0.000218967,0.141464485
346,0.023991632,0.286813104,-0.014,3367,0.004983455,0,0.149050805
347,0.021097234,0.221755159,-0.062,5936,0.003446649,9.55E-08,0.138204678
348,-9.93E-05,4.91E-06,-0.057,2688,-0.004122629,2.13E-06,0.14584132
349,-9.93E-05,4.91E-06,-0.034,3558,-0.004122629,0.000198822,0.14584132
350,-0.018163898,0.164357963,-0.084,286,-0.010909274,0.000762722,0.14758668
351,0.01608027,0.128803704,-0.048,841,-0.007923403,3.56E-06,0.149434875
352,-0.015736577,0.123355195,-0.051,5886,0.002887772,0,0.191569102
353,0.078807989,3.11225748,-0.01,399,0.01587302,1.03E-07,0.143721269
